epoch	batch	iter	loss	acc	lr
1	1	1	2.270265579223633	0.0	0.0
1	2	2	2.8340842723846436	0.125	0.0
1	3	3	3.047945261001587	0.0	0.0
1	4	4	2.5862762928009033	0.0	0.0
1	5	5	2.8335821628570557	0.25	0.0
1	6	6	3.092710018157959	0.0	0.0
1	7	7	2.634059429168701	0.25	0.0
1	8	8	2.5443356037139893	0.25	0.0
1	9	9	2.9406702518463135	0.0	0.0
1	10	10	2.9083502292633057	0.125	0.0
1	11	11	3.115963935852051	0.0	0.0
1	12	12	2.7603185176849365	0.125	0.0
1	13	13	2.8947601318359375	0.0	0.0
1	14	14	2.8487555980682373	0.125	0.0
1	15	15	2.8606033325195312	0.125	0.0
1	16	16	2.755178689956665	0.125	0.0
1	17	17	2.7876389026641846	0.125	0.0
1	18	18	2.5610618591308594	0.125	0.0
1	19	19	2.7092175483703613	0.25	0.0
1	20	20	2.6693568229675293	0.125	0.0
1	21	21	2.7295053005218506	0.0	0.0
1	22	22	3.1241111755371094	0.0	0.0
1	23	23	2.7787468433380127	0.0	0.0
1	24	24	2.936586380004883	0.0	0.0
1	25	25	2.2192940711975098	0.0	0.0
1	26	26	2.687776803970337	0.125	0.0
1	27	27	2.624006986618042	0.125	0.0
1	28	28	2.8184618949890137	0.25	0.0
1	29	29	2.4556119441986084	0.375	0.0
1	30	30	3.022156238555908	0.0	0.0
1	31	31	2.6647825241088867	0.0	0.0
1	32	32	3.031704902648926	0.0	0.0
1	33	33	2.312661647796631	0.375	0.0
1	34	34	2.089878797531128	0.0	0.0
1	35	35	2.7252249717712402	0.0	0.0
1	36	36	2.8321897983551025	0.125	0.0
1	37	37	2.8582892417907715	0.125	0.0
1	38	38	3.1344592571258545	0.0	0.0
1	39	39	2.493972063064575	0.125	0.0
1	40	40	2.715794801712036	0.125	0.0
1	41	41	2.9033257961273193	0.25	0.0
1	42	42	2.8417086601257324	0.125	0.0
1	43	43	2.773549795150757	0.125	0.0
1	44	44	3.274289131164551	0.0	0.0
1	45	45	2.825040578842163	0.125	0.0
