epoch	loss	acc	lr
1	2.794179677346125	0.09318377911993098	0.0
2	3.0806776131917117	0.21138912855910266	0.0005
3	3.0888955263972178	0.20966350301984468	0.001
4	2.857599858892077	0.28213977566867987	0.0015
5	2.755054636388323	0.2899050905953408	0.002
6	2.6688373197863284	0.31320103537532357	0.0025
7	2.469764514459013	0.362381363244176	0.003
8	2.4589546226652867	0.3813632441760138	0.0034999999999999996
9	2.3759432793486415	0.37532355478861085	0.004
10	2.368736063436355	0.3917169974115617	0.0045000000000000005
11	2.3172958429976718	0.42191544434857636	0.005
12	2.278865159432162	0.41242450388265744	0.0055000000000000005
13	2.2608250119338478	0.4201898188093184	0.006
14	2.2719930633581127	0.44952545297670404	0.006500000000000001
15	2.2562857283097695	0.44348576358930114	0.006999999999999999
16	2.1765865907265876	0.4831751509922347	0.0075
17	2.187075621717649	0.47540983606557374	0.008
18	2.187281019014979	0.45642795513373596	0.0085
19	2.1854429580303387	0.4728213977566868	0.009000000000000001
20	2.1911072474908377	0.47886108714408976	0.0095
21	2.1883986967200344	0.4452113891285591	0.01
22	2.2307854677912897	0.41501294219154444	0.009979166666666667
23	2.137750410848491	0.5090595340811044	0.009958333333333333
24	2.1026449384516535	0.5211389128559103	0.0099375
25	2.1533604630938474	0.4719585849870578	0.009916666666666667
26	2.157726380000143	0.48490077653149266	0.009895833333333335
27	2.1664004697174324	0.45211389128559104	0.009875
28	2.1496880981200106	0.4823123382226057	0.009854166666666667
29	2.1259885375308416	0.4943917169974116	0.009833333333333333
30	2.1046917049714056	0.48748921484037966	0.0098125
31	2.0942426739940365	0.5064710957722174	0.009791666666666667
32	2.0788217500122177	0.5220017256255393	0.009770833333333333
33	2.0717541757999975	0.5012942191544435	0.00975
34	2.0656373777504724	0.5150992234685073	0.009729166666666667
35	2.0261982071492257	0.5349439171699741	0.009708333333333333
36	2.015467547670945	0.5711820534943917	0.0096875
37	1.9816730170542047	0.5798101811906816	0.009666666666666667
38	2.0053646043007287	0.5642795513373597	0.009645833333333334
39	1.9329782067135144	0.5996548748921484	0.009625
40	1.917118361841717	0.5970664365832614	0.009604166666666667
41	1.9253293665654707	0.5893011216566005	0.009583333333333334
42	1.9043674668533417	0.6160483175150993	0.0095625
43	1.8312933136925191	0.6384814495254529	0.009541666666666667
44	1.871801937726986	0.6410698878343399	0.009520833333333333
45	1.8449343398689093	0.6669542709232097	0.0095
46	1.7890110888082063	0.7057808455565142	0.009479166666666667
47	1.7421203400165075	0.6885245901639344	0.009458333333333332
48	1.770408913840293	0.6764452113891286	0.0094375
49	1.7505394133953722	0.7083692838654012	0.009416666666666667
50	1.7347405187213494	0.6997411561691113	0.009395833333333334
51	1.7160634198406834	0.7204486626402071	0.009375
52	1.698593408306474	0.729076790336497	0.009354166666666667
53	1.6697459809218531	0.727351164797239	0.009333333333333334
54	1.69431829401087	0.7428817946505608	0.0093125
55	1.7101858272132842	0.6988783433994823	0.009291666666666667
56	1.6578392185354356	0.7523727351164797	0.009270833333333334
57	1.721325622333135	0.7368421052631579	0.009250000000000001
58	1.6269384034241552	0.7437446074201898	0.009229166666666667
59	1.616454067725987	0.7661777394305436	0.009208333333333332
60	1.580169627232424	0.7851596203623814	0.0091875
61	1.5415292105045268	0.8067299396031061	0.009166666666666667
62	1.5162192448343668	0.823123382226057	0.009145833333333334
63	1.5616893611970495	0.8119068162208801	0.009125
64	1.467577756531183	0.8317515099223468	0.009104166666666667
65	1.4875814477568357	0.8239861949956859	0.009083333333333334
66	1.4813688704430594	0.8317515099223468	0.0090625
